Kshs'000,Kshs'000,Kshs'000,Kshs'000
"22,798",-,"(10,092)","12,706"
-,-,"54,879","54,879"
"22,798",-,"44,787","67,585"
"(29,693)",-,-,"(29,693)"
"(39,645)",-,"(34,726)","(74,371)"
"(804,443)","47,658","(168,477)","(925,262)"
"(873,781)","47,658","(203,203)","(1,029,326)"
"(850,983)","47,658","(158,416)","(961,741)"
