"UDV (Kenya)
Limited","Serengeti
Breweries
Limited","Other
subsidiaries",Total
Kshs’000,Kshs’000,Kshs’000,
53.68%,27.5%,1% - 1.8%,
"2,115,494","9,317,615","7,249,261",
"12,169,809","3,722,387","4,451,704",
"(322,714)",-,"(4,144,926)",
"(4,841,626)","(3,672,061)","(6,013,857)",
"9,120,963","9,367,941","1,542,182",
"4,896,133","2,574,310","39,929",
"18,133,705","9,737,066","12,462,592",
"4,431,134","891,035","778,164",
"4,431,134","891,035","778,164",
"2,378,633","244,856","13,852",
"3,025,036","2,760,575","2,474,284",
"(122,387)","(1,506,733)","(2,101,244)",
"(1,962,599)","(290,030)","439,120",
"940,050","963,812","812,160",
