"Year ended 30th June, 2021",Column,Column,Column
Dr. Martin Oduor-Otieno,"8,800",-,"8,800"
Ms. Carol Musyoka,"5,580",-,"5,580"
Mr. Japheth Katto,"6,558",-,"6,558"
Mr. Jimmy Mugerwa,"6,251",-,"6,251"
Mr. John Ulanga,"6,037",-,"6,037"
Ms. Ory Okolloh,"3,720",-,"3,720"
Total,"36,946",-,"36,946"
