Reward Element,Description
Bonus,"Purpose and link to Group Strategy
This incentivises delivery of EABL’s annual strategic financial and non-financial targets. It provides focus on the
key financial metrics and the individual’s contribution to the Company’s performance.
Operation
• Bonus pay is discretionary and is paid out in line with the Company’s bonus scheme referred to as the
Annual Incentive Plan (“AIP”). AIP seeks to reward an employee’s contribution as part of a ‘winning team’.
• Bonuses are awarded during the EABL Annual Review Cycle and paid out in cash in October of every year.
• The elements used to calculate the bonus are:
» Annual base salary - Bonus is usually expressed in terms of one’s annual base salary.
» The business multiple – This is a reflection of the performance of the business against its annual
operating plan. It could be between 0.0 and 3.0 ; and
» The bonus factor - is the proposed recommendation by the Line Manager. It is a reflection of
one’s individual performance in the performance year and is between 0% - 200%.
Performance measure – This is based on individual and Company performance."
Shares / stock options,"Purpose and link to Group Strategy
This incentivises delivery of EABL’s annual strategic financial and non-financial targets. It provides focus on the
key financial metrics and the individual’s contribution to the Company’s performance.
Operation
• Diageo Executive Long Term Investment Plan (DELTIP) – This is a plan whereby awards/options are
discretionary and normally granted in September every year. They create an opportunity for executives
of the business to act like owners linking reward to Diageo’s share price performance. Under the Plan, the
shares or share options granted have a vesting period of three years after which an employee can exercise
the award/option within the third year to the tenth year.
• The Performance Share Plan (PSP) – This is a long-term incentive that offers the executive the opportunity
to receive conditional awards of shares in Diageo plc, subject to the achievement of performance
conditions: organic Profit Before Exceptional Items and Tax (PBET), organic Net Sales Value (NSV) growth
and cummulative cashflow. The vesting period for PSP is three years but is also subject to meeting the
relevant performance conditions. The number of shares a person receives depends on the extent to
which the performance condition is met.
• Diageo Performance Incentive (DPI) – This was a single one time incentive award that offered an executive
the opportunity to receive shares in Diageo, in order to lead and deliver productivity and growth across
the business. The incentive award commenced on 1 July 2016 and the vesting period was three years. The
number of shares awarded depended on both the grade and salary. The performance conditions were
pegged on Diageo productivity savings and NSV growth. Additionally, the overall performance was also
pegged on achieving a Line Manager net promoter score of at least +20 for two of the three years in the
period to vesting.
Performance measure – The awarding and vesting of the awards are linked to a range of measures which may
include but are not limited to a growth measure (e.g. net sales), a measure of efficiency (e.g. return on invested
capital) and the business’ relative performance in relation to peers (e.g. total shareholder value)."
Product allowance,"All employees are eligible to receive a discretionary choice from a select product range to enable them
experience the Company brands first hand. The value of the products is Kshs 3,000 per month. There is no cash
alternative to product allowance and it is not a contractual benefit."
Notice period,"The notice period is defined in the indvidual contracts. Local contracts provide for 3 months notice period.
Notice period for international assignees is defined by their home contracts terms of service."
Termination payments,"These are defined by Company policy, which provides for severance payment, payment in lieu of notice and
payment of any accrued fixed pay and leave."
Compensation for past Directors,"This report includes payments made in the relevant financial year to any person who was not a Director of the
Company at the time the award was made but had previously been a Director of the Company. The details of the
payments include accrued bonus and other allowances paid after the close of the year in line with the Company
policy of settling these payments based on the previous year’s performance."
