Company,Profit or loss,Column
,2022,2021
,Kshs’000,Kshs’000
,"(3,372)",123
,"41,410","45,952"
,-,-
,"3,932","3,714"
,"1,425","56,533"
,"(5,568)","1,848"
,9,41
,"37,836","108,211"
