TARGET,KEY PERFORMANCE INDICATOR,NOTES ON OUR PROGRESS
PIONEER GRAIN TO GLASS SUSTAINABILITY: PRESERVE WATER FOR LIFE,,
"Improve water efficiency in our
operations by 30% across the
company (40% in water stressed
areas).
SDG alignment: 6.4","Litres of water used per litre of
packaged product
3.03l/l","We aimed to utilise 2.78 litres of water per litre of packaged
product, however we surpassed this slightly by 0.25litres. On
average across EABL, we are using 3.03 litres of water per litre of
packaged product.
We may have not reached our 2022 goal; however, we have
improved water efficiency by 9.6% from our 2020 baseline.
This is in line with our target to improve water efficiency in our
operations by 30% across the company."
"Replenish more water than we
use for our operations for all our
sites in water-stressed areas by
2026.
SDG alignment: 6.1; 6.2; 6.6;
6B; 15.1","Volume of water replenished (m3)
362,248 m3","We aimed to replenish a total of 459,300m3 of water from our
operations in water stressed areas for 2022, however we were
able to replenish a total of 362,248 m3. Whilst we did not meet
our 2022 goal, we surpassed our water savings for 2021 by a
significant 77% - 362,248m3 of water replenished in 2022,
versus 203,640m3 in 2021. Looking forward, we are keen to
meet our 2023 targets, and we have the infrastructure in place
to realise the targets."
"Invest in improving access
to clean water, sanitation,
and hygiene (WASH) in
communities near our sites
and local sourcing areas in
all our water-stressed markets.
SDG alignment: 6.1; 6.2; 6.6;
6B; 15.1","People reached with WASH
99,317","We achieved 311% of our target to reach 31,885 people. We
have also increased our beneficiaries under WASH by 28% from
2021, where we reached 24,832 people."
"Engage in collective action in
all our priority water basins
to improve water accessibility,
availability and quality and
contribute to a net positive
water impact.
SDG alignment: 6.1; 6.2; 6.5; 6.6;
6A; 6B","Water collective actions projects
completed
100%","We have completed 100% of our water collective action
projects. These include:
• Eight water projects around Kenya with over 60,000
beneficiaries.
• SBL completed a water treatment plant in Basuto,
Tanzania with the capacity to serve 14,000 people. Prior to
embarking on the project, water supply from Lake Basuto to
the community required urgent treatment after laboratory
tests revealed that the level of fluoride in the lake water
was above the recommended World Health Organisation
(WHO) standards. The treatment plant has a capacity to
purify 900,000 litres of water in 12 hours, which is sufficient
to meet, and exceeds Basuto Ward’s current average daily
water demand of 700,000 litres.
• UBL built 8 sanitation facilities within urban markets in
partnership with the Kabaka Kingdom Foundation. Over
15,000 people will benefit from this project. UBL also built
a water and sanitation facility for Kireka Home of Disabled
that looks after 80 individuals."
