Column,"Financial Report Half Ended 31st December 2013
EABL Consolidated Income Statement
31-Dec-13 31-Dec-12
Kshs M Kshs M Growth %"
,"Net Revenue 3 1,858 3 0,633 4%
Cost of Sales ( 16,127) ( 16,234) -1%"
,"Gross Profit 1 5,731 1 4,399 9%"
,"Selling and Distribution costs (3,047) (2,541) 20%
Administrative expenses (4,507) (3,564) 26%
Other operating income / (expense) (50) ( 436) -89%"
,"Operating Profit 8 ,127 7 ,858 3%"
,"Net Finance income / (costs) (2,043) (2,061) -1%"
,"Profit before taxation 6 ,084 5 ,797 5%"
,"Income tax expense (1,923) (1,815) 6%"
,"Profit after taxation 4 ,161 3 ,982 4%"
,Non Controlling interest ( 212) ( 227) -7%
"Profit attributable to Equity holders 3 ,949 3 ,755 5%","Profit attributable to Equity holders 3 ,949 3 ,755 5%"
