Column,At 30 June
Notes,2019
,Kshs ‘000
31(a),"5,212,528"
12(b),"1,819,259"
,"(4,685,570)"
,"(605,958)"
,"1,740,259"
20(b),"(326,144)"
21(b),"(2,163)"
,"318,279"
,630
,-
,"6,131,586"
,"6,122,188"
14,"(6,298,182)"
33(b),"17,334,800"
33(b),-
33(b),"(11,557,320)"
,"(520,702)"
,"7,341,742"
,"1,678,625"
,"7,341,742"
31(b),"9,020,367"
