"UDV (Kenya)
Limited","Serengeti
Breweries
Limited","Other
subsidiaries",Total
Kshs’000,Kshs’000,Kshs’000,
53.68%,7.5%,1% - 1.8%,
"2,322,459","11,018,638","11,299,287",
"19,218,002","5,183,871","6,750,324",
"(1,147,340)","(892,337)","(4,451,336)",
"(5,865,229)","(4,557,808)","(10,140,296)",
"14,527,892","10,752,364","3,457,979",
"7,798,572","806,427","62,238",
"21,402,754","13,091,482","16,062,588",
"4,488,268","1,578,809","(135,151)",
"4,488,268","1,578,809","(135,151)",
"2,409,302","200,842","(2,432)",
"1,453,751","2,450,960","3,647,365",
"(332,018)","(1,153,554)","(2,010,843)",
"(10,516)","(648,547)","451,057",
"1,111,217","648,859","2,087,579",
