Significant matters considered,Actions and conclusions
"Judgment applied regarding the impairment of goodwill for Serengeti Breweries
Limited (SBL).
The Company carries goodwill of Kshs 2.1 billion in the consolidated financial
statements that arose from the acquisition of SBL. The goodwill is reviewed
for impairment annually. The impairment review is based on SBL’s growth
projections which are premised on its robust business strategy around driving
volumes in order to maximize capacity utilization through its premium brands,
spirits and innovation brands. Management carried out a detailed impairment
review of the goodwill and based on the results, there were no impairment
losses to be recognised.","The Committee reviewed the annual impairment testing performed
by Management, taking into account the underlying key assumptions
supporting the future cash flows in the context of the business operating
plan and strategy. The Committee was satisfied that the analysis
performed by Management and the related disclosure in the financial
statements were appropriate."
"Judgement applied regarding the impairment of investment in SBL
The Company carries an amount of Kshs 16 billion in the Company Statement
of Financial Position that relates to its equity investment in SBL. According to IAS
36 on Impairment of assets, an entity is required to test an asset for impairment
whenever there is any indication that the asset may be impaired. Management
carried out a detailed impairment review of the equity investment and based on
the results, there were no impairment losses to be recognised.","The Committee reviewed the impairment testing performed by
Management, taking into account the underlying key assumptions
supporting the future cash flows in the context of the business operating
plan and strategy. It also considered the views from the Group’s external
auditors on the valuation methodology applied, their assessment of
the reasonableness of the key assumptions and sensitivities to changes
in these assumptions. The Committee was satisfied that the analysis
performed by Management and the related disclosure in the financial
statements were appropriate."
"Commissioning of Kisumu Brewery and commencement of depreciation of the
plant
Towards the end of the financial year 2017, the Company embarked on a
project to construct a brewery in Kisumu. The Kisumu Brewery is dedicated
to production of Senator keg which is a beer in the value beer category. The
brewery was deemed complete in March 2019 when depreciation of the plant
commenced. At this point, the brewery was substantially complete and available
for commercial production.","The Committee reviewed Management’s judgments in determining
the commissioning of Kisumu Brewery and commencement of the
depreciation of the plant and considered them to be reasonable."
"Judgment relating to certain tax matters
The Group operates in several tax jurisdictions and is subject to a number of
tax claims incidental to these operations and where interpretation of various
tax regulations and applications thereof is required. In this case, Management is
required to apply judgment in assessing the tax exposures.","The Committee reviewed tax reports from Management and requested
opinions from independent specialists where considered appropriate. The
Committee considered Management’s assessment of possible, probable
and remote exposures and the related provisions and disclosure in light
of the latest developments on these matters and considered them to be
reasonable."
