Column,Tanzania,Column,Kenya,Column,Uganda,Column
,2017,2016,2017,2016,2017,2016
EBITDA margin1,12%,10%,11%,10%,12%,10%
Terminal growth rate2,5%,7%,5%,7%,5%,7%
WACC rate3,18%,17%,13%,16%,14%,19%
