"7,701,616 7,872,783","14,802,309 9,831,520","(43,194,866 (42,048,348)"
"4,569,923 8,837,435","14,647,258 3,708,832","(17,575,496)(14,490,070)"
"720,422 1,587,924","1,260,028 1,520,149",- -
"385,049 436,323","750,729 622,577",- -
