Column,3.07.2019,15.10.2019,24.01.2020,31.03.2020,28.05.2020,19.06.2020
Carol Musyoka,X,X,X,X,X,X
Japheth Katto,X,X,X,X,X,X
György Geiszl 1,X,X,X,X,-,-
Risper Ohaga 2,-,-,-,-,X,X
