"At 30th June, 2022",Current,"Less than 1
year","Between 1
and 2 years","Between 2
and 5 years",Total
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,-,"10,125,328","8,717,073","25,132,231","43,974,542"
,-,"7,441","4,657","5,658","17,756"
,-,"26,223,218",-,-,"26,223,218"
,-,"1,665,407",-,-,"1,665,407"
,"683,601",-,-,-,"683,601"
,"683,601","38,021,394","8,721,730","25,137,889","72,564,524"
