At 30 June,Column
Notes,2019
,Kshs ‘000
31(a),"28,491,403"
12(a),"120,601"
,"(3,725,127)"
,"(2,321,074)"
,"22,565,803"
20(a),"(11,676,964)"
21(a),"(91,614)"
,"222,364"
,"(11,546,214)"
14,"(6,298,182)"
,"(1,133,223)"
33(a),"17,334,800"
33(a),-
33(a),"(11,525,326)"
17,"(101,722)"
,"(1,723,653)"
,"9,295,936"
,"3,187,125"
,"(14,476)"
,"9,295,936"
31(b),"12,468,585"
