Principal Risk: Data Privacy Regulation,Column,Column
,Key Drivers,Mitigation
"Any failure or perceived failure regarding
protection of personal data may result in
significant fines, which could have a material
adverse effect on our business, operating results
or reputation.
Link to Strategic Imperative/Enabler:
• Digital transformation
• Reputation/ Society 2030","• Implementation of data privacy • Our vendors must comply with our
regulation standards of collecting and processing
of personal data relating to consumers,
Risk Outlook employees and partners.
• All customer and consumer activities
that include processing of personal
data must comply with our internal
controls, codes of conduct and data
privacy policies.
• We deliver mandatory annual data
privacy training to all employees.",
,Potential Impacts,Metrics
,"• Financial losses • Percentage of employees trained
• Reputational damage annually on information management
and data privacy.
• No. of data privacy breaches.",
