(a) Group,"2025
Kshs’000","2024
Kshs’000"
,"10,643,581",
,"711,549",
,"272,466",
,"23,962",
,"136,575",
,"3,210,158",
,"14,998,291",
,2025,2024
,864,
,464,
,212,
,"1,540",
