"Freehold
property","Leasehold
buildings","Plant and
equipment","Capital work in
progress",Total
Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000
"361,992","14,896","134,473","2,048","513,409"
—,—,"65,122","3,818","68,940"
—,—,"20,236","(20,236)",—
—,—,—,"37,347","37,347"
—,—,"(14,960)",—,"(14,960)"
—,—,—,"(20,019)","(20,019)"
"361,992","14,896","204,871","2,958","584,717"
"15,069",877,"92,850",—,"108,796"
"6,450",—,"24,375",—,"30,825"
—,—,"(14,960)",—,"(14,960)"
"21,519",877,"102,265",—,"124,661"
"340,473","14,019","102,606","2,958","460,056"
