Column,2018,2017
,Kshs’000,Kshs’000
Total borrowings (Note 34),"30,344,873","26,969,605"
Less: cash and bank balances (Note 32(c)),"(1,685,800)","(1,927,851)"
Net debt,"28,659,073","25,041,754"
Total equity,"16,281,838","20,138,708"
Total capital,"44,940,911","45,180,462"
Gearing ratio,63.77%,55.43%
