Column,2017,2016
,Kshs’000,Kshs’000
At start of year,"26,024,236","31,710,173"
Advanced in the year - Medium Term Note,"6,000,000","4,500,000"
Advanced in the year - Short Term Loan,"2,500,000",-
Repayments,"(2,500,000)","(11,715,760)"
Movement in bank overdrafts,"(5,054,631)","1,529,823"
At end of the year,"26,969,605","26,024,236"
