Column,F21 Kes Bn,F20 Kes Bn,Vs F20
Profit before Tax,10.9,10.7,2%
Income Tax,(3.9),(3.6),7%
Profit after Tax,7.0,7.0,-1%
EPS (Kes/Share),5.51,5.17,7%
DPS (KES/share),0.0,3.0,
