"UDV (Kenya)
Limited","Serengeti
Breweries
Limited","Other
subsidiaries",Total
53.68%,22.5%,1% - 1.8%,
"2,184,421","10,368,058","9,175,451",
"11,709,862","3,794,185","3,955,818",
"(1,267,788)","(561,803)","(3,542,018)",
"(2,584,787)","(3,773,428)","(5,978,850)",
"10,041,708","9,827,012","3,610,401",
"5,390,389","2,211,078","70,858",
"17,458,879","11,350,372","12,064,486",
"4,945,960","1,204,711","466,212",
"4,945,960","1,204,711","466,212",
"2,654,991","271,060","8,387",
"4,895,823","3,019,565","1,226,973",
"(263,516)","(1,526,048)","(1,954,158)",
"(2,935,623)","(1,298,730)","(28,325)",
"1,696,684","194,787","(755,510)",
