Note,Year ended 30th June,Column
,2022,2021
,Kshs ‘000,Kshs ‘000
6,"1,929,998","1,743,771"
,"8,242,144","2,529,344"
,"10,172,142","4,272,115"
8,"(1,682,364)","(1,568,599)"
9,"(822,203)","1,125,440"
12,"3,322,278","3,210,164"
12,"(4,639,083)","(4,445,165)"
10,"6,350,770","2,594,955"
13,"(472,385)","367,667"
,"5,878,385","2,962,622"
,"5,878,385","2,962,622"
,-,-
,"5,878,385","2,962,622"
