53.68 %,7.50%,1% - 1.8%,Column
"3,214,805","20,789,692","20,123,536",
"25,751,192","5,275,203","6,878,154",
"(1,505,458)","(6,269,839)","(7,762,911)",
"(5,192,784)","(8,746,238)","(9,035,789)",
"22,267,755","11,048,818","10,202,990",
"11,953,331","828,661","183,653","12,965,645"
"30,770,516","17,366,813","25,957,906",
"5,111,382","(891,730)","2,647,746",
"5,111,382","(891,730)","2,647,746",
"2,743,790","(66,880)","47,660","2,724,570"
"1,895,549","3,886,239","7,343,415",
"(360,429)","(1,555,933)","(3,424,400)",
"(17,731)","(350,320)","(2,777,002)",
"1,517,389","1,979,986","1,142,013",
