Buildings,"Motor
vehicles","Leasehold
property",Total
Kshs ‘000,Kshs ‘000,Kshs ‘000,
-,-,-,
-,-,"7,167",
"38,794","1,150,282",-,
"38,794","1,150,282","7,167",
"647,681","193,585",-,
-,-,"62,068",
"2,821","19,087",-,
"689,296","1,362,954","69,235",
-,-,-,
"46,569","462,936",175,
-,-,"26,885",
"1,007","6,496",2,
"47,576","469,432","27,062",
"641,720","893,522","42,173",
