Column,2018,2017
,Kshs’000,Kshs’000
Past due but not impaired:,,
-by upto 30 days,"900,336","2,016,411"
-by 31 to 120 days,"219,879","175,486"
Trade and other receivables,"3,821,318","5,862,696"
Receivables individually determined to be impaired:,,
Carrying amount before provision for impairment loss,-,-
Provision for impairment loss,-,-
Net carrying amount,"3,821,318","5,862,696"
