"At 1 July
2018","Prior year
(over)/under
provision","Charged/
(credited) to
profit or loss","At 30 June
2019"
Kshs’000,Kshs’000,Kshs’000,
"(37,697)",-,"(6,764)",
"59,834",-,"(20,713)",
"22,137",-,"(27,477)",
"(61,249)",-,"62,123",
"(391,323)",32,"391,291",
"(295,679)",-,"(207,543)",
"(748,251)",32,"245,871",
"(726,114)",32,"218,394",
