Kshs'000,Kshs'000
"10,343,368","7,858,224"
"(1,862,705)","(1,172,878)"
"4,778,835","4,447,518"
"54,222","72,957"
"(208,028)",-
"(103,800)","20,127"
70,70
"(10,103,583)","(7,600,664)"
"(2,249,428)",-
