Company,Column,Profit or loss
,,2021
,,Kshs’000
,Euro,123
,Pound Sterling,"45,952"
,South Sudanese Pound,-
,Tanzanian Shilling,"3,714"
,Ugandan Shilling,"56,533"
,US Dollar,"1,848"
,South African Rand,41
,,"108,211"
