2014: Group,EUR,GBP,TZS,UGX,USD,SSP
,’000,’000,’000,’000,’000,’000
Monetary assets,,,,,,
"Cash and bank
balances",43,122,-,"1,731,479","2,896","18,160"
"Trade and other
receivables",64,"5,859","20,487,476","11,826,647","21,587","3,466"
,107,"5,981","20,487,476","13,558,126","24,483","21,626"
"Monetary
liabilities",,,,,,
"Trade and other
payables","(1,794)","(5,290)","(25,245,764)","(8,992,418)","(5,402)","(1,201)"
Borrowings,(794),"(2,661)","(11,930,807)",-,-,-
,"(2,588)","(7,951)","(37,176,571)","(8,992,418)","(5,402)","(1,201)"
"Net open
position","(2,481)","(1,970)","(16,689,095)","4,565,708","19,081","20,425"
