Company,Column,Profit or loss,Column
,,2020,
,,Kshs’000,
,Euro,(676),
,Pound Sterling,"52,131",
,South Sudanese Pound,"2,680",
,Tanzanian Shilling,-,
,Ugandan Shilling,"53,797",
,US Dollar,"1,829",
ZAR,South African Rand,310,-
,,"110,071","576,282"
