Column,Year ended 30 June
Note,2019
,Kshs ‘000
6(a),"82,543,241"
7(a),"(44,426,104)"
,"38,117,137"
7(a),"(7,209,400)"
8(a),"(9,398,222)"
9(a),"(322,889)"
12(a),"120,601"
12(a),"(3,492,577)"
10,"17,814,650"
13(a),"(6,299,520)"
,"11,515,130"
,"8,877,789"
18(a),"2,637,341"
,"11,515,130"
15,11.23
