Column,Year ended 30 June,Column
Notes,"2025
Kshs’000","2024
Kshs’000"
,"(776,599)",
,"(6,405,422)",
,"(424,885)",
,"4,697,240",
,"(12,737,908)",
,"(15,647,574)",
,"1,639,512",
,"10,815,010",
,"289,657",
,"1,639,512",
,"12,744,179",
