Column,Number of shares,Ordinary shares,Share premium
,,Kshs’000,Kshs’000
Issued and fully paid,,,
"Balance as at 1 July 2016, 30 June 2017 and 30 June 2018","790,774,356","1,581,547","1,691,151"
