Column,28.07.2021,25.01.2022,11.04.2022
Ms. Carol Musyoka,√,√,√
Mr. John O’Keeffe,√,√,√
Dr. Martin Oduor-Otieno,Absent with apology,√,√
Mr. Jimmy Mugerwa,√,√,√
Mr. Dayalan Nayager*,N/A,√,√
