Notes,At 30 June
,2021
,Kshs ‘000
34(a),"21,523,733"
12(a),"91,242"
,"(3,141,386)"
31(a),"(89,530)"
,"(3,772,288)"
,"14,611,771"
20(a),"(7,744,506)"
23(a),"(182,354)"
18(b),"(6,271,376)"
,-
,"(14,198,236)"
31(a),"(482,774)"
14,-
,"(60,610)"
,"(140,396)"
30(a),"23,552,160"
30(a),"(19,398,508)"
17,"(5,799)"
,"3,464,073"
,"3,877,608"
,"1,729,297"
,"(1,185,884)"
,"3,877,608"
34(b),"4,421,021"
