Column,Year ended 30 June,Column
Notes,"2025
Kshs’000","2024
Kshs’000"
,"(2,849)",
,"(4,744,646)",
,"2,000,000",
,"(9,916,666)",
,"(12,664,161)",
,"(686,184)",
,"6,645,537",
,"(103,954)",
,"(686,184)",
,"5,855,399",
