Column,Year ended 30 June,Column
Notes,"2025
Kshs’000","2024
Kshs’000"
,"6,372,589",
,"(4,372,187)",
,"5,137,822",
,384,
,"45,429",
,"2,647",
,"1,037",
,"23,962",
,"(6,521,203)",
,398,
,"103,954",
,"794,832",
,"553,230",
,"(1,354,875)",
,"1,655,853",
,"1,649,040",
,"4,335,221",
,"(5,174,905)",
,(384),
,"(51,996)",
,"756,976",
,"(2,318)",
,"(2,231)",
,"(10,839)",
,"4,715,186",
,"6,521,203",
,"11,221,001",
