Kshs'000,Kshs'000
"318,911","294,010"
"1,066,470","1,120,955"
"923,130","119,351"
"17,525",-
"51,874","54,683"
"233,680","11,883"
"19,995",-
"5,247",-
"2,636,832","1,600,882"
