Share capital,"Share
premium","Other
Reserves","Retained
earnings",Total equity
Kshs’000,Kshs’000,Kshs ‘000,Kshs’000,
"1,581,547","1,691,151","26,184","13,634,161",
-,-,-,"10,060,933",
-,-,"22,126",-,
-,-,-,"(2,372,323)",
-,-,-,"(4,744,646)",
-,-,"22,126","(7,116,969)",
"1,581,547","1,691,151","48,310","16,578,125",
"1,581,547","1,691,151","14,584","12,994,556",
-,-,,"6,965,799",
-,-,"11,600",-,
-,-,-,"(1,976,935)",
-,-,-,"(4,349,259)",
-,-,"11,600","(6,326,194)",
"1,581,547","1,691,151","26,184","13,634,161",
