At 30 June 2023,At amortised cost,Level 2
,Kshs’000,Kshs’000
,"12,249,505","12,249,505"
,"10,252,628","10,252,628"
,"22,502,133","22,502,133"
,"58,576,180","58,576,180"
,"2,827,748","2,827,748"
,"30,527,508","30,527,508"
,"977,005","977,005"
,"92,908,441","92,908,441"
