"Country of
inco poration","Effective
ownership
interest",2020,2019
,,Kshs’000,
Kenya,100%,"22,377,809",
Tanzania,77.5%,"15,970,420",
Kenya,100%,"687,662",
Uganda,98%,"687,648",
Kenya,46%,"589,410",
Uganda,100%,"300,000",
Tanzania,100%,"5,610",
Kenya,100%,"1,337",
South Sudan,99%,299,
Kenya,100%,3,
Kenya,100%,2,
Kenya,100%,-,
Uganda,100%,-,
,,"40,620,200",
