RESOLUTION,FOR,AGAINST,ABSTAIN
"1) To receive, consider and adopt the audited Financial Statements for the year ended
30th June 2022 together with the Chairman’s, Directors’ and Auditors’ Reports thereon.",,,
"2) Dividend
a) To confirm the Interim Dividend in respect of the Financial Year ended 30th June
2022, of Kshs 3.75 per ordinary share, which was paid subject to withholding tax, on
or about 27th April 2022 to shareholders registered at the close of business on 28th
February 2022.
b) To approve a final dividend of Kshs 7.25 per ordinary share for the Financial Year ended
30th June 2022, payable net of withholding tax as recommended by the Directors.
The dividend will be payable on or about 30th October 2022, to Shareholders on the
Register of Members as at the close of business on 15th September 2022.",,,
"3) Election of Directors:
a) Carol Musyoka, who retires by rotation in accordance with the provisions of Articles
117 of the Company’s Articles of Association, and, being eligible, offers herself for re-
election.",,,
"b) Jimmy Mugerwa, who retires by rotation in accordance with the provisions of Articles
117 of the Company’s Articles of Association, and, being eligible, offers himself for re-
election.",,,
"c) Leo Breen, who retires by rotation in accordance with the provisions of Articles 117
of the Company’s Articles of Association, and, being eligible, offers himself for re-
election.",,,
"4) To elect the following Directors, being members of the Board Audit & Risk
Management Committee to continue to serve as members of the said Committee: -
John Ulanga; Japheth Katto; Jimmy Mugerwa; Leo Breen and Ory Okolloh.",,,
"5) To receive, consider and if thought fit approve the Directors’ Remuneration Report
and the remuneration paid to the Directors’ for the year ended 30th June 2022.",,,
"6) To re-appoint the Auditors Messrs. PricewaterhouseCoopers (PwC) to continue
in office as auditors by virtue of Section 721(2) of the Companies Act 2015 and to
authorize the Board of Directors to fix their remuneration for the ensuing financial
year.",,,
