In Kshs Millions,2005,2004,"Change
%"
Fixed and other non current assets,"10,040","9,774",3%
"Stocks
Debtors
Other
Cash and term deposits","3,335
1,963
267
7,134","3,490
1,767
517
5,223",
Current assets,"12,699","10,997",15%
TOTAL ASSETS,"22,739","20,771",
Shareholder funds,"15,347","13,545",13%
Minority interest,"1,659","1,714",3%
Non current liabilities,1691,"1,606",5%
Current liabilities,"4,042","3,906",3%
TOTAL EQUITY AND LIABILITIES,"22,739","20,771",
