Distribution of shareholders,"Number of
shares","Number of
shareholders",%
,"2,519,605","13,448",
,"15,827,774","9,889",
,"6,693,681",936,
,"38,635,356","1,312",
,"116,058,048",355,
,"611,039,892",79,
,"790,774,356","26,019",
