"UR STRATEGIC
LANS TO 2030","KEY
PERFORMANCE
INDICATOR","BASELINE
YEAR F20","F24
ACTUALS","F25
ACTUALS","PROGRESS
TO DATE",STATUS
,,,,6.08 Bil.,,
,,,,"10,044",,
,,,,50%,,
