Notes,Year ended 30th June,Column
,2022,2021
,Kshs ‘000,Kshs ‘000
33,"7,618,284","7,296,773"
12,"3,799,973","2,725,585"
,"(4,477,413)","(4,583,068)"
30,"(1,201)","(2,667)"
,"(490,354)","(519,229)"
,"6,449,289","4,917,394"
20,"(36,610)","(70,716)"
22,"(78,040)","(108,770)"
24,-,"(6,271,376)"
20,"44,468","44,712"
,"159,214","101,733"
,"(88,046)","(3,141,357)"
,"8,242,144","2,529,344"
,"8,243,130","(6,916,430)"
30,"(7,891)","(19,146)"
14,"(2,879,244)",-
,"(76,022)","(140,396)"
29,"14,000,000","22,400,000"
29,"(22,166,667)","(19,291,667)"
,"(11,129,824)","2,948,791"
,"3,562,595","949,755"
,"1,761,351","811,596"
,"3,562,595","949,755"
33,"5,323,946","1,761,351"
