TARGET,KEY PERFORMANCE INDICATOR,NOTES ON OUR PROGRESS
PIONEER GRAIN TO GLASS SUSTAINABILITY: BECOME SUSTAINABLE BY DESIGN,,
"Achieve zero waste in our direct
operations and zero waste to
landfill in our supply chain.
SDG alignment: 12.5; 12.6","Total waste to landfills (tonnes)
from our direct operations
0","We have maintained zero tonnes of waste to landfill from
our direct operations mainly through re-use, recycling and
composting of all our waste generated through our supply
processes."
"Achieve 10% average recycled
content in our plastic bottles
by 2025.
SDG alignment: 12.5; 12.6","Percentage of recycled content in
plastics
0%","Across our markets, we are using returnable glass bottles,
except for our UBL business. We are currently looking for
potential r-PET suppliers to partner with us at our UBL business,
which will lead us to start making traction on this target in
2023."
"Ensure 100% of our plastics
is designed to be widely
recyclable (or reusable/
compostable) by 2025.
SDG alignment: 12.5; 12.6","Percentage of plastics that is widely
recyclable/ reusable / compostable
100%","Majority of all our plastics used are widely recyclable, reusable
and compostable. In 2022 we achieved a success rate of over
99%. This is higher than 2021, where 90% of our plastics were
widely recyclable, and higher than our 2022 target of 98%."
DOING BUSINESS THE RIGHT WAY,,
"Adherence and level of
commitment to our codes of
conduct and global policies.","Total confirmed breaches of our
Code of Business Conduct
17","All allegations are taken seriously, investigated, and where
required, consequence management is performed. We monitor
all breaches to identify trends and root causes where further
action may be required."
