Column,17.07.2020,17.12.2020,25.01.2021,25.02.2021,22.03.2021,06.05.2021,13.05.2021,20.05.2021
Carol Musyoka,√,√,√,√,√,√,√,√
Japheth Katto,√,√,√,√,√,√,√,√
Risper Ohaga,√,√,√,√,√,√,√,√
Ory Okolloh1,-,√,√,√,√,√,√,√
