Column,Tanzania,Column,Kenya,Column,Uganda,Column
,2018,2017,2018,2017,2018,2017
EBITDA margin1,18%,12%,11%,11%,12%,12%
Terminal growth rate2,6%,5%,5%,5%,5%,5%
WACC rate3,15%,18%,12%,13%,12%,14%
