At 30 June 2023:,Current,"Less than 1
year","Between 1
and 2 years","Between 2
and 5 years","Over 5
years",Total
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,—,"14,558,682","12,716,009","38,529,167","5,536,221","71,340,079"
,—,"521,588","798,495","1,467,530","1,113,158","3,900,771"
,—,"30,527,508",—,—,—,"30,527,508"
,—,"1,209,695",—,—,—,"1,209,695"
,"977,005",—,—,—,—,"977,005"
,"977,005","46,817,473","13,514,504","39,996,697","6,649,379","107,955,058"
,,Less than 1,Between 1,Between 2,Over 5,
,Current,year,and 2 years,and 5 years,years,Total
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,—,"11,208,726","6,834,825","27,647,066","5,536,221","51,226,838"
,—,"5,369","5,658",—,—,"11,027"
,—,"16,014,023",—,—,—,"16,014,023"
,—,"4,008",—,—,—,"4,008"
,"977,005",—,—,—,—,"977,005"
,"977,005","27,232,126","6,840,483","27,647,066","5,536,221","68,232,901"
