Jina Hisa
"1 Nicholas Blazquez 6,000
2 Richard Kemoli 42,480
3 William Kalema 27,208
4 Evanson Mwaniki 1,800
5 Jeremiah Kiereini 1,451,520
6 Gerald Mahinda 45,456 *
7 Wilfred David Kiboro 3,720"
