Distribution of shareholders,"Number of
shares","Number of
shareholders",%
,"2,476,074","13,239",
,"15,586,028","9,765",
,"6,608,444",929,
,"38,361,584","1,309",
,"111,893,279",348,
,"615,848,947",82,
,"790,774,356","25,672",
