Column,At 30 June
Note,2019
,Kshs ‘000
16,"1,581,547"
16,"1,691,151"
17(a),"(608,997)"
17(a),"26,184"
17(c),"(2,805,753)"
,"4,744,646"
,"4,015,601"
,"8,644,379"
18,"7,510,372"
,"16,154,751"
19(a),"6,136,317"
33(a),"31,115,178"
,"37,251,495"
,"53,406,246"
20(a),"53,037,811"
21(a),"621,076"
22(a),"2,743,001"
22(b),"463,430"
23(a),"7,167"
25,"10,000"
19(a),"580,761"
,"57,463,246"
26(a),"7,368,012"
27(a),"8,222,994"
,"1,363,112"
32,"179,678"
31(b),"12,468,585"
,"29,602,381"
