Year ended 30 June 2023,At 1 July 2022,"Prior year
(over)/under
provision","Charged/
(credited) to
profit or loss","At 30 June
2023"
,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,"(54,186)",—,"9,819","(44,367)"
,"4,752",—,"(1,995)","2,757"
,—,—,—,—
,"(49,434)",—,"7,824","(41,610)"
,"(40,130)",—,"40,130",—
,"(4,595)",—,"1,654","(2,941)"
,"(96,924)","(1,606)","(54,735)","(153,265)"
,"(349,469)",—,"280,181","(69,288)"
,"(491,118)","(1,606)","267,230","(225,494)"
,"(540,552)","(1,606)","275,054","(267,104)"
