30 June 2021,Column,30 June 2020
"Number of
shares",Kshs’000,"Number of
shares"
"2,815,644","594,677","2,915,194"
"40,326","6,765",-
"(6,714)",(966),"(99,550)"
"33,612","5,799","(99,550)"
"2,849,256","600,476","2,815,644"
