Column,Year ended 30 June
Note,2020
,Kshs ‘000
6(a),"74,916,259"
7(a),"(41,896,229)"
,"33,020,030"
,"(6,590,629)"
8(a),"(8,565,240)"
9(a),"(3,382,811)"
12(a),"164,873"
12(a),"(3,990,964)"
10,"10,655,259"
13(a),"(3,634,344)"
,"7,020,915"
,"4,086,477"
18(a),"2,934,438"
,"7,020,915"
15,5.17
