Column,31-Dec-24,31-Dec-23
,Kshs ‘M,Kshs ‘M
Cash generated from operations,"22,658","19,740"
Net interest paid,"(3,690)","(3,957)"
Income tax paid,"(2,711)","(2,232)"
Net cash generated from operating activities,"16,257","13,551"
"Purchase of property, plant and equipment","(3,472)","(4,307)"
Other investing activities,(27),(1)
Net cash used in investing activities,"(3,499)","(4,308)"
Dividends paid,"(4,906)","(1,384)"
Net movement in borrowings,"(4,823)","(6,593)"
Net cash used in financing activities,"(9,729)","(7,977)"
Net increase in cash and cash equivalents,"3,029","1,266"
At 1 July,"10,814","9,043"
Foreign exchange impact of translation,250,372
Net increase in cash and cash equivalents,"3,029","1,266"
Cash and cash equivalents at 31 December,"14,093","10,681"
