Column,At start of year,"Shares/ options
awarded","Shares/ options
exercised",Leaver,"Total (vested
and unvested)"
,"76,111","12,745","(48,479)",-,
,"28,572","15,596","(3,485)",-,
,"10,965","3,831","(3,255)",-,
Total,"115,648","32,172","(55,219)",-,"92,601"
,"65,287","12,797","(1,973)",-,
,"20,709","7,863",-,-,
,"11,492","2,929","(3,456)",-,
,"79,790",-,-,"(79,790)",
Total,"177,278","23,589","(5,429)","(79,790)","115,648"
