Column,At 30 June
Notes,2020
,Kshs ‘000
35(a),"(6,324,044)"
,"3,101,187"
,"(5,378,960)"
32(b),"(3,817)"
,"(596,072)"
,"(9,201,706)"
20(b),"(686,808)"
23(b),"(75,988)"
25,"(995,809)"
,"696,524"
,-
,"(9,276,496)"
,"13,702,016"
,"3,363,439"
32(b),"(24,170)"
,"(7,131,156)"
31(b),"23,400,000"
31(b),"(18,615,178)"
,"(2,370,504)"
,"(8,208,771)"
,"9,020,367"
,"(8,208,771)"
35(b),"811,596"
