Year ended 30 June
2023
Kshs ‘000
"(6,040)"
"(8,405,114)"
—
"31,700,000"
"(23,441,666)"
"(152,820)"
"(1,131,267)"
"5,323,947"
"(1,131,267)"
"4,192,680"
