TARGET,KEY PERFORMANCE INDICATOR,NOTES ON OUR PROGRESS
PIONEER GRAIN TO GLASS SUSTAINABILITY: ACCELERATE TO A LOW CARBON WORLD,,
"Become Net Zero carbon
in our direct operations (Scopes
1 and 2).
SDG alignment: 7.2; 7.3; 12.6;
13.3","Total direct GHG emissions (Scope
1&2) (kt CO2e)
63.4","Whilst we are slightly off track our 2022 goal, with our Scope
1&2 total direct GHG emissions above our target of 46.90 (kt
CO2e), we expect to see a turnover in our Scope 1&2 emissions
following the operationalisation of our biomass projects in
Uganda and Kenya. Rolling out biomass is part of Diageo’s
biggest environmental investment in Pan-Africa, positioning
us as a trailblazer and leader in environmental stewardship
and conservation. We have invested in four biomass boilers
in our Kisumu and Tusker plants to help reduce our carbon
emissions by 95% (about 42,000 tonnes) per year. In Uganda,
the £8.56 million investment will be able to realise an unrivalled
C02 emissions reduction by 90%. SBL is also working towards
curbing direct emissions and all its three sites have transitioned
to the use of LPG forklifts which have lower emission than the
previous diesel forklifts."
"Use 100% renewable energy
across all our direct operations.
SDG alignment: 7.2; 7A; 17.16","Percentage of renewable energy in
our own operations
25.87%","We are behind target on our use of renewable energy in our
operations, given a target of 43% use of renewable energy in
2022, and an achievement of 25.87%. We are, however, using
1.8% more renewable energy in our operations from our
baseline in 2020 (24%). As noted above, with the completion of
our biomass project, we expect to see a significant shift in our
use of renewable energy in our operations.
On the other hand, as a signatory to the RE100 global initiative
we are also committed to 100% renewable electricity. Our sites
run on 96.97% renewable electricity for our operations, above
our internal target to use 95%. This is also an increase in the
renewable electricity utilised from our baseline recording in
2020 of 93%."
