"Freehold
property","Leasehold
buildings",Equipment,"Capital work
in progress",Total
Kshs ‘000,Kshs ‘000,Kshs ‘000,Kshs ‘000,
"312,396","14,896","310,534","65,153",
"1,216",-,-,"69,500",
-,-,"(154,310)",-,
854,-,-,(854),
-,-,-,"(31,655)",
-,-,-,"(44,712)",
"314,466","14,896","156,224","57,432",
"4,822",877,"217,015",-,
-,-,"(152,992)",-,
"4,711",-,"25,409",-,
"9,533",877,"89,432",-,
"304,933","14,019","66,792","57,432",
