Column,2018,2017
,Kshs ‘000,Kshs ‘000
Employee benefits expense (Note 11(a)),"9,406,425","9,350,856"
"Depreciation on property, plant and equipment (Note 21(a))","3,495,415","3,328,169"
Amortisation of intangible assets - software (Note 22(a)),"149,249","101,788"
Impairment of goodwill (Note 23),-,"284,687"
Amortisation of prepaid operating lease (Note 24(a)),816,363
Auditor's remuneration,"39,599","39,599"
